actualValue,comment,dateValue,doubleValue,highlighting,languages,linkField,linkName,linkValue,longValue,markup,name,presentationName,tableCols,value,valueHash,valueWOHL
,Уровень суда,,,[],,,,,,[],case_court_type_cat,,,"Районный, городской, межрайонный суд",,"Районный, городской, межрайонный суд"
,Дела с текстом судебного акта,,,,,,,,1.0,,case_user_document_num,,,,,1
,Округ РФ,,,[],,,,,,[],case_doc_district_rf,,,Сибирский федеральный округ,,Сибирский федеральный округ
,Стороны по делу,,,[],,,,,,[],case_common_parts_m2_search,,[''],,1074335618,
,Дата поступления,2017-12-08T04:00:00,,,,,,,,,case_common_doc_entry_date,,,,,Fri Dec 08 04:00:00 GST 2017
,Статья УК РФ,,,[],,,,,,[],u_case_user_article,,,Статья 228 Часть 2; Статья 229.1 Часть 3,,Статья 228 Часть 2; Статья 229.1 Часть 3
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['11.12.2017', '14:29', '[У] Регистрация поступившего в суд дела', '', '', '', '']",11.12.2017.  ...  .14:29.  ...  .[У] Регистрация поступившего в суд дела.  ...  ..  ...  ..  ...  ..  ...  .,1151159745,11.12.2017.  ...  .14:29.  ...  .[У] Регистрация поступившего в суд дела.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['11.12.2017', '14:33', '[У] Передача материалов дела судье', '', '', '', '']",11.12.2017.  ...  .14:33.  ...  .[У] Передача материалов дела судье.  ...  ..  ...  ..  ...  ..  ...  .,-1693633471,11.12.2017.  ...  .14:33.  ...  .[У] Передача материалов дела судье.  ...  ..  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['11.12.2017', '15:00', '[У] Решение в отношении поступившего уголовного дела', '[У] Назначено судебное заседание', '', '', '']",11.12.2017.  ...  .15:00.  ...  .[У] Решение в отношении поступившего уголовного дела.  ...  .[У] Назначено судебное заседание.  ...  ..  ...  ..  ...  .,-1558853499,11.12.2017.  ...  .15:00.  ...  .[У] Решение в отношении поступившего уголовного дела.  ...  .[У] Назначено судебное заседание.  ...  ..  ...  ..  ...  .
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['19.12.2017', '15:00', '[У] Судебное заседание', '[У] Заседание отложено', '', 'НЕДОСТАВЛЕНИЕ ПОДСУДИМОГО', 'Кабинет № 410']",19.12.2017.  ...  .15:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .НЕДОСТАВЛЕНИЕ ПОДСУДИМОГО.  ...  .Кабинет № 410,-2042464022,19.12.2017.  ...  .15:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .НЕДОСТАВЛЕНИЕ ПОДСУДИМОГО.  ...  .Кабинет № 410
,Движение дела,,,[],,,,,,[],case_common_event_m2,,"['20.12.2017', '11:00', '[У] Судебное заседание', '[У] Заседание отложено', '', 'ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА', 'Кабинет № 410']",20.12.2017.  ...  .11:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .Кабинет № 410,858179746,20.12.2017.  ...  .11:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .Кабинет № 410
