actualValue,comment,dateValue,doubleValue,highlighting,languages,linkField,linkName,linkValue,longValue,markup,name,presentationName,tableCols,value,valueHash,valueWOHL
,Уровень суда,,,[],,,,,,[],case_court_type_cat,,,"Районный, городской, межрайонный суд",,"Районный, городской, межрайонный суд"
,Дела с текстом судебного акта,,,,,,,,1.0,,case_user_document_num,,,,,1
,Округ РФ,,,[],,,,,,[],case_doc_district_rf,,,Северо-Западный федеральный округ,,Северо-Западный федеральный округ
,Дата решения,2018-02-20T01:00:00,,,,,,,,,case_common_doc_result_date,,,,,Tue Feb 20 01:00:00 GST 2018
,Дата решения,2018-02-20T01:00:00,,,,,,,,,case_user_doc_result_date,,,,,Tue Feb 20 01:00:00 GST 2018
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['20.02.2018', '11:00', '[У] Судебное заседание', '[У] Постановление приговора', '', '', '561']",20.02.2018.  ...  .11:00.  ...  .[У] Судебное заседание.  ...  .[У] Постановление приговора.  ...  ..  ...  ..  ...  .561,-641293598,20.02.2018.  ...  .11:00.  ...  .[У] Судебное заседание.  ...  .[У] Постановление приговора.  ...  ..  ...  ..  ...  .561
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['07.02.2018', '11:00', '[У] Судебное заседание', '[У] Заседание отложено', '', 'неявка в судебное заседание ПРОКУРОРА', '561']",07.02.2018.  ...  .11:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .неявка в судебное заседание ПРОКУРОРА.  ...  .561,-143433906,07.02.2018.  ...  .11:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .неявка в судебное заседание ПРОКУРОРА.  ...  .561
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['25.01.2018', '14:00', '[У] Судебное заседание', '[У] Заседание отложено', '', 'ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА', '561']",25.01.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .561,-251656095,25.01.2018.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .561
,Слушания по делу,,,[],,,,,,[],case_hear_m2,,"['26.12.2017', '14:00', '[У] Судебное заседание', '[У] Заседание отложено', '', 'ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА', '561']",26.12.2017.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .561,1510398337,26.12.2017.  ...  .14:00.  ...  .[У] Судебное заседание.  ...  .[У] Заседание отложено.  ...  ..  ...  .ДРУГИЕ ОСНОВАНИЯ ДЛЯ ОТЛОЖЕНИЯ ДЕЛА.  ...  .561
,Стороны по делу,,,[],,,,,,[],case_common_parts_m2_search,,"['Защитник (адвокат)', 'Беленовская И.А.', '', '', '']",Защитник (адвокат).  ...  .Беленовская И.А..  ...  ..  ...  ..  ...  .,-2011712525,Защитник (адвокат).  ...  .Беленовская И.А..  ...  ..  ...  ..  ...  .
,Стороны по делу,,,[],,,,,,[],case_common_parts_m2_search,,"['Прокурор', 'Кункевич Л.С.', '', '', '']",Прокурор.  ...  .Кункевич Л.С..  ...  ..  ...  ..  ...  .,-131598988,Прокурор.  ...  .Кункевич Л.С..  ...  ..  ...  ..  ...  .
,Дата поступления,2017-11-20T01:00:00,,,,,,,,,case_common_doc_entry_date,,,,,Mon Nov 20 01:00:00 GST 2017
